,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1264,Marco Höger,Schalke 04,Bundesliga,26,2084,1,1,2,1.185500955,1.277148979,1.185500955,0.051197258,0.055155186,0.051197258,D M,21,17,11,0,4.334071044,5.711988378
1265,Nico Schulz,Hertha Berlin,Bundesliga,28,1990,1,1,0,1.339243341,1.43353335,1.339243341,0.060568794,0.064833167,0.060568794,D M S,10,11,1,2,1.671609601,4.187490754
1266,Takashi Inui,Eintracht Frankfurt,Bundesliga,27,1834,1,1,5,3.051349274,4.458623581,3.051349274,0.149739059,0.218798322,0.149739059,M S,43,46,2,0,3.300578888,9.91229058
1267,Xherdan Shaqiri,Bayern Munich,Bundesliga,9,336,1,1,2,1.558990091,1.574054416,1.558990091,0.417586632,0.421621719,0.417586632,F M S,12,10,0,0,1.230663235,3.75309974
1268,Moritz Leitner,VfB Stuttgart,Bundesliga,19,1096,1,1,1,1.382857323,1.075444093,1.382857323,0.113555802,0.088312015,0.113555802,M S,21,16,5,0,1.086085632,2.61639546
1269,Izet Hajrovic,Werder Bremen,Bundesliga,19,723,1,1,0,0.765460574,0.445733125,0.765460574,0.095285549,0.055485451,0.095285549,F M S,11,10,0,0,0.321076566,0.982409698
1270,Deyverson,FC Cologne,Bundesliga,8,337,1,1,0,1.156712878,0.069953365,1.156712878,0.308914418,0.018681908,0.308914418,F S,9,2,4,0,0.313670628,1.529439144
1271,Erik Durm,Borussia Dortmund,Bundesliga,18,1585,1,1,1,0.419323851,1.402427079,0.419323851,0.023810187,0.079633083,0.023810187,D,11,11,2,0,5.001122257,6.135863805
1272,Nuri Sahin,Borussia Dortmund,Bundesliga,7,544,1,1,0,0.76930448,0.852055347,0.76930448,0.127274638,0.140965039,0.127274638,M S,13,7,0,0,2.18822681,2.748302708
1273,Artjoms Rudnevs,Hamburger SV,Bundesliga,22,925,1,1,3,3.797690677,2.201950017,3.797690677,0.369505039,0.214243785,0.369505039,F S,33,13,1,0,0.883412154,6.76316989
1274,Simon Rolfes,Bayer Leverkusen,Bundesliga,24,1233,1,1,1,0.459851064,1.434445863,0.459851064,0.033565771,0.104704078,0.033565771,M S,12,19,4,0,3.19953793,4.297910118
1275,Marcel Ndjeng,Hertha Berlin,Bundesliga,16,1105,1,1,2,0.189250614,1.318458658,0.189250614,0.015414077,0.107385773,0.015414077,D M S,9,8,2,0,1.356038922,1.93178587
1276,John Heitinga,Hertha Berlin,Bundesliga,13,933,1,1,0,1.008606438,0.045273948,1.008606438,0.097293225,0.004367262,0.097293225,D M S,2,1,3,0,0.230761226,0.276035175
1277,Christian Günter,Freiburg,Bundesliga,34,2886,1,1,2,1.127798198,1.499348599,1.127798198,0.035170422,0.046757233,0.035170422,D M S,26,24,4,0,3.75731175,5.526627054
1278,Maximilian Philipp,Freiburg,Bundesliga,24,1153,1,1,2,2.011745518,1.619176964,2.011745518,0.157031307,0.126388488,0.157031307,F S,19,11,4,0,1.70980994,3.919122716
1279,Jens Wemmer,Paderborn,Bundesliga,21,1490,1,1,1,0.943102083,1.057313632,0.943102083,0.056965898,0.063864582,0.056965898,D M S,16,14,0,0,1.638512069,2.806517675
1280,Mahir Saglik,Paderborn,Bundesliga,11,305,1,1,1,1.243568547,0.843921408,1.243568547,0.366954653,0.249025989,0.366954653,F S,12,7,2,0,0.061131185,1.91812359
1281,Süleyman Koc,Paderborn,Bundesliga,29,1942,1,1,2,2.818598311,3.683817619,2.818598311,0.13062505,0.170722753,0.13062505,F M S,38,40,1,0,3.909664803,8.572416899
